Text,CogData
"We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - Washington, DC!",Yes
"We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - Washington, DC!",Yes
We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - New York!,Yes
"We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - Washington, DC!",Yes
"Hello! We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - Washington, DC!",Yes
We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - New York!,Yes
"We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - Washington, DC!",Yes
Hello! We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - New York!,Yes
"We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - Washington, DC!",Yes
We've switched our Twitter handle to @GrantSpace. Please follow us there for news and training updates from the Northeast - New York!,Yes
Holiday closures this week: Candid's NY Library will close at 12:30PM on Wed. Nov. 27 and remain closed through Mon. Dec. 1. The library will resume normal hours on Tues. Dec. 2 https://t.co/2mqPdVnXNt,Yes
We are teaching an Introduction to Finding Grants workshop @BKLYNlibrary 10 Grand Army Plaza on Wed. Dec. 4 at 10:30AM. https://t.co/oDcblh5voB Tell all your #Brooklyn #nonprofit #friends to come! #grants #ForBrooklyn https://t.co/rkhlC13xvz,Yes
We are teaching an Introduction to Finding Grants workshop @BKLYNlibrary 10 Grand Army Plaza on Wed. Dec. 4 at 10:30AM. https://t.co/oDcblh5voB Tell all your #Brooklyn #nonprofit #friends to come! #grants #ForBrooklyn https://t.co/WoO4DHM1gJ,Yes
We are teaching an Introduction to Finding Grants workshop @BKLYNlibrary 10 Grand Army Plaza on Wed. Dec. 4 at 10:30AM. https://t.co/oDcblhn6g9 Tell all your #Brooklyn #nonprofit #friends to come! #grants #ForBrooklyn https://t.co/vnZjyj48f9,Yes
